No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,TN,   Jackpot, Wins,   Machine  ,Set
1, Sat,12,Jun,1999,8,26,28,31,32,6,250000,0, Excalibur 3, T4 
2, Sat,19,Jun,1999,3,4,8,20,33,7,250000,0, Excalibur 1, T3 
3, Sat,26,Jun,1999,7,16,19,23,26,3,250000,1, Excalibur 1, T1 
4, Sat,3,Jul,1999,1,16,20,27,30,8,250000,3, Excalibur 3, T4 
5, Sat,10,Jul,1999,3,14,19,20,26,7,250000,1, Excalibur 3, T4 
6, Sat,17,Jul,1999,3,15,17,24,29,9,250000,0, Excalibur 1, T2 
7, Sat,24,Jul,1999,18,22,28,31,33,9,250000,2, Excalibur 3, T1 
8, Sat,31,Jul,1999,5,6,12,24,33,10,250000,2, Excalibur 3, T2 
9, Sat,7,Aug,1999,4,13,18,25,27,13,250000,0, Excalibur 3, T3 
10, Sat,14,Aug,1999,13,23,28,32,34,5,250000,1, Excalibur 3, T1 
11, Sat,21,Aug,1999,1,11,12,29,30,6,250000,1, Excalibur 3, T3 
12, Sat,28,Aug,1999,5,27,30,31,32,7,250000,1, Excalibur 1, T4 
13, Sat,4,Sep,1999,9,17,18,24,33,9,250000,0, Excalibur 1, T3 
14, Sat,11,Sep,1999,3,12,16,20,28,4,250000,2, Excalibur 3, T2 
15, Sat,18,Sep,1999,1,9,14,17,21,13,250000,2, Excalibur 3, T1 
16, Sat,25,Sep,1999,2,9,15,29,32,8,250000,0, Excalibur 1, T4 
17, Sat,2,Oct,1999,6,17,21,22,26,14,250000,1, Excalibur 1, T1 
18, Sat,9,Oct,1999,5,6,22,32,33,13,250000,0, Excalibur 1, T3 
19, Sat,16,Oct,1999,17,20,22,25,31,2,250000,1, Excalibur 3, T1 
20, Sat,23,Oct,1999,3,10,12,18,30,11,250000,0, Excalibur 1, T3 
21, Sat,30,Oct,1999,2,12,14,15,29,1,250000,0, Excalibur 3, T4 
22, Sat,6,Nov,1999,10,14,21,24,32,5,250000,0, Excalibur 3, T2 
23, Sat,13,Nov,1999,7,10,16,19,33,2,250000,1, Excalibur 1, T1 
24, Sat,20,Nov,1999,1,8,11,12,13,5,250000,2, Excalibur 1, T2 
25, Sat,27,Nov,1999,10,16,17,20,22,12,250000,1, Excalibur 1, T3 
26, Sat,4,Dec,1999,3,11,16,22,26,1,250000,1, Excalibur 1, T2 
27, Sat,11,Dec,1999,2,6,19,24,28,10,250000,4, Excalibur 3, T1 
28, Sat,18,Dec,1999,23,24,26,28,29,7,250000,0, Excalibur 3, T2 
29, Fri,24,Dec,1999,2,8,13,25,31,1,250000,2, Excalibur 3, T1 
30, Sat,1,Jan,2000,2,9,10,20,22,14,250000,0, Excalibur 3, T3 
31, Sat,8,Jan,2000,4,8,9,16,17,4,250000,0, Excalibur 1, T1 
32, Sat,15,Jan,2000,3,15,16,18,27,5,250000,2, Excalibur 1, T4 
33, Sat,22,Jan,2000,1,7,8,18,25,7,250000,4, Excalibur 3, T3 
34, Sat,29,Jan,2000,4,16,18,22,34,3,250000,0, Excalibur 1, T4 
35, Sat,5,Feb,2000,3,8,14,25,31,4,250000,5, Excalibur 3, T1 
36, Sat,12,Feb,2000,7,11,18,25,33,3,250000,6, Excalibur 3, T3 
37, Sat,19,Feb,2000,16,22,25,28,29,5,250000,1, Excalibur 3, T2 
38, Sat,26,Feb,2000,3,11,21,26,30,12,250000,1, Excalibur 1, T2 
39, Sat,4,Mar,2000,1,4,6,11,31,13,250000,0, Excalibur 1, T2 
40, Sat,11,Mar,2000,4,11,14,27,33,6,250000,1, Excalibur 3, T3 
41, Sat,18,Mar,2000,7,14,17,21,26,2,250000,0, Excalibur 3, T1 
42, Sat,25,Mar,2000,15,21,23,26,32,11,250000,1, Excalibur 3, T5 
